,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
0,2715,Eric,Lewis,42  ,0021600557
1,201640,Kane,Fitzgerald,5   ,0021600557
2,204058,Gediminas,Petraitis,50  ,0021600557
0,1174,Ken,Mauer,41  ,0021700009
1,1188,Leroy,Richardson,20  ,0021700009
2,201639,Josh,Tiven,58  ,0021700009
0,2002,Derrick,Collins,11  ,0021800412
1,2882,Sean,Wright,4   ,0021800412
2,203593,Justin,Van Duyne,64  ,0021800412
0,2530,Ed,Malloy,14  ,0021600573
1,2002,Derrick,Collins,11  ,0021600573
2,1627962,Jacyn,Goble,68  ,0021600573
0,1174,Ken,Mauer,41  ,0021601148
1,201638,Brent,Barnaky,36  ,0021601148
2,203177,Lauren,Holtkamp,7   ,0021601148
0,2714,David,Guthrie,16  ,0021700038
1,200833,Eric,Dalen,37  ,0021700038
2,203591,Mitchell,Ervin,27  ,0021700038
0,1148,James,Capers,19  ,0021700328
1,2714,David,Guthrie,16  ,0021700328
2,1627962,Jacyn,Goble,68  ,0021700328
0,2003,Pat,Fraher,26  ,0021800436
1,201639,Josh,Tiven,58  ,0021800436
2,202035,Brett,Nansel,44  ,0021800436
0,1174,Ken,Mauer,41  ,0021800609
1,203591,Mitchell,Ervin,27  ,0021800609
2,1627964,Jonathan,Sterling,17  ,0021800609
0,1146,Tony,Brothers,25  ,0021600633
1,1162,Scott,Foster,48  ,0021600633
2,202037,J.T.,Orr,72  ,0021600633
0,201639,Josh,Tiven,58  ,0021700169
1,202058,James,Williams,60  ,0021700169
2,203177,Lauren,Holtkamp,7   ,0021700169
0,202049,Ben,Taylor,46  ,0021700853
1,202058,James,Williams,60  ,0021700853
2,203593,Justin,Van Duyne,64  ,0021700853
0,2004,Courtney,Kirkland,61  ,0021800486
1,202007,Nick,Buchert,3   ,0021800486
2,1627961,Brandon,Adair,67  ,0021800486
0,2529,Tony,Brown,6   ,0021600683
1,2534,Zach,Zarba,15  ,0021600683
2,202053,Scott,Twardoski,52  ,0021600683
0,2003,Pat,Fraher,26  ,0021601138
1,2882,Sean,Wright,4   ,0021601138
2,203593,Justin,Van Duyne,64  ,0021601138
0,1148,James,Capers,19  ,0021700065
1,202026,Karl,Lane,77  ,0021700065
2,202037,J.T.,Orr,72  ,0021700065
0,201639,Josh,Tiven,58  ,0021800712
1,204058,Gediminas,Petraitis,50  ,0021800712
2,1626300,Ray,Acosta,54  ,0021800712
0,2148,Mark,Ayotte,56  ,0021800946
1,201246,Kevin,Cutler,34  ,0021800946
2,1627963,Phenizee,Ransom,70  ,0021800946
0,2002,Derrick,Collins,11  ,0021600743
1,1664,Gary,Zielinski,59  ,0021600743
2,101284,John,Goble,30  ,0021600743
0,1164,Ron,Garretson,10  ,0021701101
1,202053,Scott,Twardoski,52  ,0021701101
2,204058,Gediminas,Petraitis,50  ,0021701101
0,2715,Eric,Lewis,42  ,0021800903
1,201246,Kevin,Cutler,34  ,0021800903
2,1627964,Jonathan,Sterling,17  ,0021800903
0,1146,Tony,Brothers,25  ,0021600806
1,201639,Josh,Tiven,58  ,0021600806
2,203593,Justin,Van Duyne,64  ,0021600806
0,1195,Derrick,Stafford,9   ,0021701077
1,1204,Derek,Richardson,63  ,0021701077
2,2002,Derrick,Collins,11  ,0021701077
0,1201,Leon,Wood,40  ,0021800762
1,101284,John,Goble,30  ,0021800762
2,201638,Brent,Barnaky,36  ,0021800762
0,1176,Monty,McCutchen,13  ,0021600830
1,202026,Karl,Lane,77  ,0021600830
2,203592,Dedric,Taylor,21  ,0021600830
0,2534,Zach,Zarba,15  ,0021700576
1,101283,Brian,Forte,45  ,0021700576
2,203177,Lauren,Holtkamp,7   ,0021700576
0,2882,Sean,Wright,4   ,0021800734
1,201245,Marat,Kogut,32  ,0021800734
2,202035,Brett,Nansel,44  ,0021800734
0,1194,Bill,Spooner,22  ,0021600846
1,2529,Tony,Brown,6   ,0021600846
2,202027,Tre,Maddox,73  ,0021600846
0,1162,Scott,Foster,48  ,0021700598
1,201246,Kevin,Cutler,34  ,0021700598
2,1626300,Ray,Acosta,54  ,0021700598
0,1830,Marc,Davis,8   ,0021800748
1,2005,Matt,Boland,18  ,0021800748
2,202049,Ben,Taylor,46  ,0021800748
0,1179,Rodney,Mott,71  ,0021600885
1,202058,James,Williams,60  ,0021600885
2,203177,Lauren,Holtkamp,7   ,0021600885
0,101283,Brian,Forte,45  ,0021700767
1,204058,Gediminas,Petraitis,50  ,0021700767
2,1627962,Jacyn,Goble,68  ,0021700767
0,1146,Tony,Brothers,25  ,0021701202
1,201637,Haywoode,Workman,66  ,0021701202
2,202049,Ben,Taylor,46  ,0021701202
0,101283,Brian,Forte,45  ,0021800420
1,202058,James,Williams,60  ,0021800420
2,1627964,Jonathan,Sterling,17  ,0021800420
0,2003,Pat,Fraher,26  ,0021801034
1,200833,Eric,Dalen,37  ,0021801034
2,1626302,Aaron,Smith,51  ,0021801034
0,2534,Zach,Zarba,15  ,0021600981
1,201637,Haywoode,Workman,66  ,0021600981
2,202058,James,Williams,60  ,0021600981
0,1155,JB,DeRosa,62  ,0021700425
1,1662,Bill,Kennedy,55  ,0021700425
2,200834,Mark,Lindsay,29  ,0021700425
0,2004,Courtney,Kirkland,61  ,0021800020
1,200832,Curtis,Blair,74  ,0021800020
2,204059,Tyler,Ford,39  ,0021800020
0,1146,Tony,Brothers,25  ,0021600994
1,1193,Michael,Smith,38  ,0021600994
2,201639,Josh,Tiven,58  ,0021600994
0,2003,Pat,Fraher,26  ,0021700250
1,2005,Matt,Boland,18  ,0021700250
2,1626302,Aaron,Smith,51  ,0021700250
0,2530,Ed,Malloy,14  ,0021801162
1,202056,CJ,Washington,12  ,0021801162
2,203592,Dedric,Taylor,21  ,0021801162
0,2001,Jason,Phillips,23  ,0021600015
1,2004,Courtney,Kirkland,61  ,0021600015
2,200833,Eric,Dalen,37  ,0021600015
0,2534,Zach,Zarba,15  ,0021600849
1,202037,J.T.,Orr,72  ,0021600849
