origin,TEAM_ABBREVIATION_x,destination,TEAM_ABBREVIATION_y,distance_miles
Los Angeles Lakers,LAL,Los Angeles,LAC,0
Los Angeles Clippers,LAC,Los Angeles,LAC,0
Memphis Grizzlies,MEM,Los Angeles,LAC,1797.94
Miami Heat,MIA,Los Angeles,LAC,2731.88
Milwaukee Bucks,MIL,Los Angeles,LAC,2058.72
Minnesota Timberwolves,MIN,Los Angeles,LAC,1930.83
New Orleans Pelicans,NOP,Los Angeles,LAC,1893.04
New York Knicks,NYK,Los Angeles,LAC,2794.59
Oklahoma City Thunder,OKC,Los Angeles,LAC,1331.81
Orlando Magic,ORL,Los Angeles,LAC,2508.22
Philadelphia 76ers,PHI,Los Angeles,LAC,2714.24
Phoenix Suns,PHX,Los Angeles,LAC,374.24
Portland Trailblazers,POR,Los Angeles,LAC,965.76
Sacramento Kings,SAC,Los Angeles,LAC,386.02
San Antonio Spurs,SAS,Los Angeles,LAC,1359.05
Toronto Raptors,TOR,Los Angeles,LAC,2520.82
Utah Jazz,UTA,Los Angeles,LAC,691.96
Washington Wizards,WAS,Los Angeles,LAC,2672.72
Atlanta Hawks,ATL,Memphis,MEM,385.01
Boston Celtics,BOS,Memphis,MEM,1317.43
Brooklyn Nets,BKN,Memphis,MEM,1103.84
Charlotte Hornets,CHA,Memphis,MEM,629.88
Chicago Bulls,CHI,Memphis,MEM,535.3
Cleveland Cavaliers,CLE,Memphis,MEM,731.57
Dallas Mavericks,DAL,Memphis,MEM,454.46
Denver Nuggets,DEN,Memphis,MEM,1094.46
Detroit Pistons,DET,Memphis,MEM,754.03
Golden State Warriors,GSW,Memphis,MEM,2076.58
Houston Rockets,HOU,Memphis,MEM,568.28
Indiana Pacers,IND,Memphis,MEM,472.91
Los Angeles Lakers,LAL,Memphis,MEM,1796.45
Los Angeles Clippers,LAC,Memphis,MEM,1796.45
Memphis Grizzlies,MEM,Memphis,MEM,0
Miami Heat,MIA,Memphis,MEM,1045.27
Milwaukee Bucks,MIL,Memphis,MEM,623.16
Minnesota Timberwolves,MIN,Memphis,MEM,830.78
New Orleans Pelicans,NOP,Memphis,MEM,393.46
New York Knicks,NYK,Memphis,MEM,1099.55
Oklahoma City Thunder,OKC,Memphis,MEM,467.42
Orlando Magic,ORL,Memphis,MEM,821.61
Philadelphia 76ers,PHI,Memphis,MEM,1016.3
Phoenix Suns,PHX,Memphis,MEM,1424.6
Portland Trailblazers,POR,Memphis,MEM,2249.05
Sacramento Kings,SAC,Memphis,MEM,2090.11
San Antonio Spurs,SAS,Memphis,MEM,723.59
Toronto Raptors,TOR,Memphis,MEM,992.65
Utah Jazz,UTA,Memphis,MEM,1524.47
Washington Wizards,WAS,Memphis,MEM,878.16
Atlanta Hawks,ATL,Miami,MIA,662.37
Boston Celtics,BOS,Miami,MIA,1498.74
Brooklyn Nets,BKN,Miami,MIA,1284.93
Charlotte Hornets,CHA,Miami,MIA,728.54
Chicago Bulls,CHI,Miami,MIA,1380.31
Cleveland Cavaliers,CLE,Miami,MIA,1240.53
Dallas Mavericks,DAL,Miami,MIA,1313.32
Denver Nuggets,DEN,Miami,MIA,2061.53
Detroit Pistons,DET,Miami,MIA,1392.42
Golden State Warriors,GSW,Miami,MIA,3097.04
Houston Rockets,HOU,Miami,MIA,1185.7
Indiana Pacers,IND,Miami,MIA,1193.96
Los Angeles Lakers,LAL,Miami,MIA,2734.58
Los Angeles Clippers,LAC,Miami,MIA,2734.58
Memphis Grizzlies,MEM,Miami,MIA,1043.45
Miami Heat,MIA,Miami,MIA,0
Milwaukee Bucks,MIL,Miami,MIA,1473.37
Minnesota Timberwolves,MIN,Miami,MIA,1789.26
New Orleans Pelicans,NOP,Miami,MIA,863.82
New York Knicks,NYK,Miami,MIA,1286.28
Oklahoma City Thunder,OKC,Miami,MIA,1508.36
Orlando Magic,ORL,Miami,MIA,234.21
Philadelphia 76ers,PHI,Miami,MIA,1197.38
Phoenix Suns,PHX,Miami,MIA,2360.08
Portland Trailblazers,POR,Miami,MIA,3257.27
Sacramento Kings,SAC,Miami,MIA,3115.14
San Antonio Spurs,SAS,Miami,MIA,1376.01
Toronto Raptors,TOR,Miami,MIA,1483.86
Utah Jazz,UTA,Miami,MIA,2532.7
Washington Wizards,WAS,Miami,MIA,1050.44
Atlanta Hawks,ATL,Milwaukee,MIL,813.51
Boston Celtics,BOS,Milwaukee,MIL,1074.63
Brooklyn Nets,BKN,Milwaukee,MIL,883.66
Charlotte Hornets,CHA,Milwaukee,MIL,863.93
Chicago Bulls,CHI,Milwaukee,MIL,91.97
Cleveland Cavaliers,CLE,Milwaukee,MIL,435.08
Dallas Mavericks,DAL,Milwaukee,MIL,1002.65
Denver Nuggets,DEN,Milwaukee,MIL,1043.6
Detroit Pistons,DET,Milwaukee,MIL,381.6
Golden State Warriors,GSW,Milwaukee,MIL,2173.03
Houston Rockets,HOU,Milwaukee,MIL,1172.4
Indiana Pacers,IND,Milwaukee,MIL,283.6
Los Angeles Lakers,LAL,Milwaukee,MIL,2058.74
Los Angeles Clippers,LAC,Milwaukee,MIL,2058.74
Memphis Grizzlies,MEM,Milwaukee,MIL,624.15
Miami Heat,MIA,Milwaukee,MIL,1505.41
Milwaukee Bucks,MIL,Milwaukee,MIL,0
Minnesota Timberwolves,MIN,Milwaukee,MIL,337.23
New Orleans Pelicans,NOP,Milwaukee,MIL,1016.41
New York Knicks,NYK,Milwaukee,MIL,883.08
